Timestamp,Data
2024-03-03 20:14:47.705952,59.89
2024-03-03 20:14:47.756244,59.50
2024-03-03 20:14:47.805842,59.82
2024-03-03 20:14:47.856038,59.07
2024-03-03 20:14:47.905728,60.11
2024-03-03 20:14:47.955932,59.39
2024-03-03 20:14:48.005649,60.11
2024-03-03 20:14:48.055884,59.71
2024-03-03 20:14:48.106366,59.21
2024-03-03 20:14:48.155735,59.75
2024-03-03 20:14:48.206165,59.71
2024-03-03 20:14:48.255684,59.60
2024-03-03 20:14:48.306289,58.89
2024-03-03 20:14:48.355738,59.24
2024-03-03 20:14:48.405861,59.21
2024-03-03 20:14:48.456112,59.43
2024-03-03 20:14:48.505725,59.53
2024-03-03 20:14:48.555880,59.11
2024-03-03 20:14:48.605447,59.75
2024-03-03 20:14:48.655890,58.64
2024-03-03 20:14:48.705305,59.09
2024-03-03 20:14:48.755551,59.71
2024-03-03 20:14:48.805129,59.67
2024-03-03 20:14:48.855632,59.36
2024-03-03 20:14:48.905924,59.50
2024-03-03 20:14:48.955419,59.31
2024-03-03 20:14:49.005969,59.07
2024-03-03 20:14:49.055498,59.89
2024-03-03 20:14:49.105814,59.57
2024-03-03 20:14:49.155075,59.82
2024-03-03 20:14:49.205645,59.71
2024-03-03 20:14:49.255913,59.64
2024-03-03 20:14:49.305484,59.75
2024-03-03 20:14:49.355637,59.93
2024-03-03 20:14:49.405132,59.71
2024-03-03 20:14:49.455779,59.61
2024-03-03 20:14:49.505012,59.89
2024-03-03 20:14:49.555232,59.43
2024-03-03 20:14:49.604778,59.38
2024-03-03 20:14:49.655317,59.86
2024-03-03 20:14:49.705451,59.71
2024-03-03 20:14:49.754956,60.04
2024-03-03 20:14:49.805273,59.64
2024-03-03 20:14:49.854786,59.89
2024-03-03 20:14:49.905240,60.43
2024-03-03 20:14:49.954703,59.96
2024-03-03 20:14:50.005332,59.50
2024-03-03 20:14:50.054677,59.24
2024-03-03 20:14:50.105054,59.93
2024-03-03 20:14:50.154537,59.82
2024-03-03 20:14:50.204901,60.00
2024-03-03 20:14:50.255125,59.21
2024-03-03 20:14:50.304709,59.53
2024-03-03 20:14:50.354992,59.50
